,,Proliferation group,,,,
97307_f_at,Ndufb5,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5",---,1.376,6,0.003
97311_at,6720456B07Rik,RIKEN cDNA 6720456B07 gene,chr6 ,0.701,6,0
97318_at,Hars2,histidyl tRNA synthetase 2,chr2 ,0.864,6,0
97342_at,Mrps14,mitochondrial ribosomal protein S14,chr1 ,2.351,6,0.001
97346_at,2610001J05Rik,RIKEN cDNA 2610001J05 gene,chr6 ,0.616,6,0.03
97356_at,1810008O21Rik,RIKEN cDNA 1810008O21 gene,chr7 ,0.227,6,0.037
97374_at,2810025M15Rik,RIKEN cDNA 2810025M15 gene,chr1 ,2.124,6,0.003
97395_at,D19Wsu55e,"DNA segment, Chr 19, Wayne State University 55, expressed",---,0.449,6,0.015
97412_at,3300001G02Rik,RIKEN cDNA 3300001G02 gene,chr11 ,2.545,6,0.004
97419_at,2310010I22Rik,RIKEN cDNA 2310010I22 gene,chr2 ,0.687,6,0.007
97424_at,Arl6ip5,ADP-ribosylation factor-like 6 interacting protein 5,chr6 ,0.945,6,0.001
97449_at,Aldh7a1,"aldehyde dehydrogenase family 7, member A1",chr18 ,0.856,6,0.043
97459_at,Psma4,"proteasome (prosome, macropain) subunit, alpha type 4",chr18 ,1.676,6,0.03
97460_at,Ube2r2,ubiquitin-conjugating enzyme E2R 2,---,0.681,6,0.047
97468_at,Cks1,CDC28 protein kinase 1,chr3 ,2.843,6,0
97477_at,Timm8b,translocase of inner mitochondrial membrane 8 homolog b (yeast),chr9 ,1.26,6,0.04
97478_at,C030004C14Rik,RIKEN cDNA C030004C14 gene,chr13 ,0.351,6,0.002
97512_at,2010107E04Rik,RIKEN cDNA 2010107E04 gene,chr12 ,0.955,6,0.007
97538_at,Gus,beta-glucuronidase,chr5 ,1.607,6,0.033
97751_f_at,NoneAvailable,---,---,0.47,6,0.022
97758_at,Prdx1,peroxiredoxin 1,chr8 ,1.211,6,0.01
97807_at,1110021H02Rik,RIKEN cDNA 1110021H02 gene,chr1 ,1.1,6,0.015
97819_at,Gsto1,glutathione S-transferase omega 1,chr19 ,0.024,6,0.001
97820_at,Galk1,galactokinase 1,chr11 ,2.703,6,0.004
97824_at,D11Ertd175e,"DNA segment, Chr 11, ERATO Doi 175, expressed",chr11 ,1.494,6,0.006
97828_at,Siva-pending,Cd27 binding protein (Hindu God of destruction),chr12 ,1.387,6,0
97884_at,Mrps11,mitochondrial ribosomal protein S11,chr7 ,1.959,6,0.019
97885_at,1810009M01Rik,RIKEN cDNA 1810009M01 gene,chr6 ,-0.938,6,0.043
97907_at,Lsm7,"LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae)",chr10 ,1.945,6,0.002
97979_at,Ppp1r7,"protein phosphatase 1, regulatory (inhibitor) subunit 7",chr1 ,2.977,6,0.019
98039_at,2410015M20Rik,RIKEN cDNA 2410015M20 gene,chr17 ,1.43,6,0.019
98075_at,G431001I09Rik,RIKEN cDNA G431001I09 gene,chr2 ,3.225,6,0.001
98077_at,Snrpd3,small nuclear ribonucleoprotein D3,chr10 ,1.794,6,0.001
98081_at,Rpo1-3,RNA polymerase 1-3,chr4 ,0.959,6,0.001
98092_at,Plac8,placenta-specific 8,chr5 ,2.981,6,0.004
98120_at,Mrpl27,mitochondrial ribosomal protein L27,chr11 ,3.683,6,0.001
98153_at,Cct3,chaperonin subunit 3 (gamma),chr3 ,1.573,6,0.02
98440_at,Ltb4dh,leukotriene B4 12-hydroxydehydrogenase,chr4 ,3.855,6,0
98456_at,Stk19,serine/threonine kinase 19,---,0.189,6,0.008
98492_at,Cklfsf7,chemokine-like factor super family 7,chr9 ,1.661,6,0.036
98516_at,NoneAvailable,"Mus musculus cDNA clone MGC:67360 IMAGE:6823629, complete cds",chr8 ,0.615,6,0.016
98524_f_at,NoneAvailable,---,---,2.603,6,0.008
98527_at,Dci,"dodecenoyl-Coenzyme A delta isomerase (3,2 trans-enoyl-Coenyme A isomerase)",chr17 ,1.306,6,0.011
98557_f_at,Psmb4,"proteasome (prosome, macropain) subunit, beta type 4",---,0.285,6,0.018
98564_f_at,Rps26,ribosomal protein S26,chr10 ,0.016,6,0.025
98587_at,Nap1l1,nucleosome assembly protein 1-like 1,chr10 ,0.829,6,0.015
98595_at,Irak1,interleukin-1 receptor-associated kinase 1,---,-0.518,6,0.02
98610_at,Mrps28,mitochondrial ribosomal protein S28,chr3 ,1.473,6,0.04
98613_at,2700085E05Rik,RIKEN cDNA 2700085E05 gene,chr11 ,0.873,6,0.02
98904_at,Mrpl35,mitochondrial ribosomal protein L35,chr6 ,2.237,6,0.002
98910_at,D030012E24Rik,RIKEN cDNA D030012E24 gene,chr11 ,0.973,6,0.008
98920_g_at,2410018G23Rik,RIKEN cDNA 2410018G23 gene,chrX ,-2.085,6,0.004
98921_at,2410018G23Rik,RIKEN cDNA 2410018G23 gene,chr8 ,-1.976,6,0.004
98930_at,Cope,"coatomer protein complex, subunit epsilon",chr8 ,1.116,6,0.022
98934_at,0610007P06Rik,RIKEN cDNA 0610007P06 gene,chr7 ,4.269,6,0
98938_at,1500026D16Rik,RIKEN cDNA 1500026D16 gene,chr19 ,1.602,6,0.013
98959_at,0610016J10Rik,RIKEN cDNA 0610016J10 gene,chr17 ,0.606,6,0.011
98966_at,Dbt,dihydrolipoamide branched chain transacylase E2,chr3 ,1.257,6,0.033
98975_at,2410008G02Rik,RIKEN cDNA 2410008G02 gene,chr8 ,0.732,6,0.033
99056_at,Pcbd,6-pyruvoyl-tetrahydropterin synthase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1),chr10 ,0.111,6,0.008
99106_at,Cops6,"COP9 (constitutive photomorphogenic) homolog, subunit 6 (Arabidopsis thaliana)",chr5 ,2.396,6,0.029
99128_at,Atp5o,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit",chr16 ,1.704,6,0.021
99129_at,Clast3-pending,CD40 ligand-activated specific transcript 3,chr18 ,1.773,6,0.039
99147_at,Znhit1,"zinc finger, HIT domain containing 1",---,0.46,6,0.042
99148_at,Fh1,fumarate hydratase 1,chr1 ,2.824,6,0.009
99151_at,2610002K22Rik,RIKEN cDNA 2610002K22 gene,---,3.469,6,0.004
99156_at,2700099C19Rik,RIKEN cDNA 2700099C19 gene,chrX ,0.68,6,0.049
99164_at,2010111E04Rik,RIKEN cDNA 2010111E04 gene,chr3 ,2.906,6,0.006
99179_at,3010002G01Rik,RIKEN cDNA 3010002G01 gene,chr19 ,0.465,6,0.011
99182_at,2610511E03Rik,RIKEN cDNA 2610511E03 gene,chr14 ,0.954,6,0.044
99522_at,Gsg2,germ cell-specific gene 2,---,0.308,6,0.008
99537_at,Ruvbl1,RuvB-like protein 1,chr1 ,3.012,6,0.022
99544_at,Dguok,deoxyguanosine kinase,chr6 ,0.647,6,0.034
99546_at,Fkbp2,FK506 binding protein 2,---,2.273,6,0.001
99566_at,Tpi,triosephosphate isomerase,chr6 ,1.133,6,0.048
99583_at,Gstp2,"glutathione S-transferase, pi 2",chr19 ,1.142,6,0.003
99586_at,Cst3,cystatin C,chr2 ,0.348,6,0.003
99594_at,Mrpl51,mitochondrial ribosomal protein L51,chr6 ,2.427,6,0
99613_at,Mut,methylmalonyl-Coenzyme A mutase,chr17 ,0.426,6,0.012
99618_at,0710008D09Rik,RIKEN cDNA 0710008D09 gene,chr10 ,2.5,6,0
99632_at,Mad2l1,"MAD2 (mitotic arrest deficient, homolog)-like 1 (yeast)",chr6 ,1.589,6,0.018
99651_at,2610209M04Rik,RIKEN cDNA 2610209M04 gene,chr6 ,1.176,6,0.024
99655_at,1810012E07Rik,RIKEN cDNA 1810012E07 gene,chr7 ,0.653,6,0.001
99991_at,Il17r,interleukin 17 receptor,chr6 ,0.281,6,0.036
* Positive log2 fold changes represent genes expressed higher in FL-HSC; Negative log2 fold changes represent genes expressed higher in adult HSC (fold change=2 is equivalent to log2 fold change=1),,,,,,
